,标题,原文链接
193,平顶山学院智慧校园综合业务服务系统（二期）项目-中标公告,http://pingdingshan.hngp.gov.cn/pingdingshan/content?infoId=1180468\u0026channelCode=H651401
194,三门峡职业技术学院现代教育中心智慧校园一期大数据平台建设项目A包、B包、E包-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1177248\u0026channelCode=H730203
195,河南交通职业技术学院智慧校园基础提升项目中标公告,http://www.hngp.gov.cn/webfile/henan/cgxx/jggg/webinfo/2022/06/08/1151974.htm
196,河南交通职业技术学院智慧校园基础提升项目中标公告,http://www.hngp.gov.cn/henan/content?infoId=1151974&channelCode=H600102
200,鹤壁职业技术学院智慧校园数据中心建设及提升项目单一来源采购邀请书,http://www.hngp.gov.cn/henan/content?infoId=1145678&channelCode=H670201
201,项城市中等专业学校智慧校园工程项目-中标公告,http://www.hngp.gov.cn/webfile/zhoukou/cgxx/jggg/webinfo/2022/05/1136325.htm
207,鹤壁职业技术学院工业机器人系统集成实训室建设项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1119085&channelCode=H670202
208,郑州市中原区锦江中学教学设施设备采购项目（A包）-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1118101&channelCode=D270202
209,河南工业职业技术学院智能制造类VR虚拟仿真实训中心建设项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1116788&channelCode=H600102
210,河南省南阳工业学校省“高水平专业群”建设（三期）项目-中标公告,http://nanyang.hngp.gov.cn/nanyang/content?infoId=1114012&channelCode=H740602
211,灵宝市高级技工学校2021年全民技能振兴项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1113748&channelCode=H730202
212,梁园区2021年第二批支持学前教育发展资金观堂镇黄店小学项目 结果公告,http://shangqiu.hngp.gov.cn/shangqiu/content?infoId=1109346&channelCode=D620104
213,郑州机电工程学校2021-2022年度高水平中等职业学校和专业建设项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1106822&channelCode=D340202
214,梁园区2021年第二批支持学前教育发展资金李庄乡乔庄小学项目（二次） 结果公告,http://shangqiu.hngp.gov.cn/shangqiu/content?infoId=1104349&channelCode=D620104
216,漯河市郾城区教师进修学校购置教学培训设备项目中标结果公告,http://www.hngp.gov.cn/henan/content?infoId=1102944&channelCode=H720202
217,驻马店市第三中学中招理化、体育考试设备采购项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1101348&channelCode=H780602
218,三门峡职业技术学院智能制造学院机械工程虚拟仿真实训中心建设项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1098549&channelCode=H730202
219,郑州旅游职业学院旅游管理学院旅游规划综合实训室升级改造项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1096986&channelCode=H610102
221,郑州市二七区长江路中学2021年长江路中学录播室项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1091718&channelCode=D250202
222,河南农业大学龙子湖校区校史馆设计施工布展一体化项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1089776&channelCode=H600102
223,郑州信息科技职业学院河南开放大学校史馆建设项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1088922&channelCode=H600102
227,新乡学院应用光学及激光原理教学实验室项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1083124&channelCode=H680202
229,南阳市第五完全学校高中部智慧校园建设项目-中标公告,http://nanyang.hngp.gov.cn/nanyang/content?infoId=1082090&channelCode=H740602
231,濮阳县职业技术学校“双高”建设项目-中标公告,http://puyang.hngp.gov.cn/puyang/content?infoId=1076675&channelCode=D990503
234,河南护理职业学院可视化教室教学质量评价平台项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1071674&channelCode=H600102
237,三门峡职业技术学院医护学院临床思维实训中心建设项目二次-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1068022&channelCode=H730202
